,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
1541,Maruti Swift,2017,10991,1,PETROL,MH-05,Manual,HatchBack,530000
1542,Honda Amaze,2017,55427,1,PETROL,DL-10,Manual,Sedan,526000
1543,Nissan Micra Active,2018,47009,1,PETROL,TN-09,Manual,HatchBack,485000
1544,Hyundai Xcent,2015,114678,1,PETROL,,Manual,Sedan,617000
1545,Maruti Wagon R 1.0,2017,75047,1,PETROL,DL-1C,Manual,HatchBack,337000
1546,Hyundai i10,2011,87568,1,PETROL,KL-54,Manual,HatchBack,218000
1547,Ford Ecosport,2021,63357,1,DIESEL,UP-42,Manual,SUV,874000
1548,Mahindra XUV500,2017,81120,1,DIESEL,KA-01,Manual,Lux_SUV,1077000
1549,Toyota YARIS,2021,44321,1,CNG,UP-32,Manual,Sedan,814000
1550,Maruti Vitara Brezza,2019,26769,1,DIESEL,UP-32,Automatic,SUV,833000
1551,Maruti Alto,2020,46607,1,PETROL,RJ-45,Manual,HatchBack,380000
1552,Maruti S Cross,2020,19475,2,PETROL,HR-26,Automatic,SUV,942000
1553,Maruti Celerio,2015,56150,1,PETROL,KA-05,Automatic,HatchBack,451000
1554,Honda Amaze,2019,54034,1,PETROL,GJ-01,Manual,Sedan,600000
1555,Ford Ecosport,2017,14241,1,PETROL,DL-10,Manual,SUV,699000
1556,Maruti Alto,2019,53976,1,PETROL,TS-10,Manual,HatchBack,352000
1557,Maruti Alto 800,2015,88047,1,PETROL,HR-14,Manual,HatchBack,253000
1558,Renault Kwid,2019,55317,1,PETROL,TN-11,Manual,HatchBack,459000
1559,Hyundai Creta,2017,47556,1,PETROL,DL-10,Manual,SUV,792000
1560,Toyota Corolla Altis,2018,51848,2,DIESEL,HR-51,Manual,Lux_sedan,1102000
1561,Mahindra Kuv100,2016,90494,1,DIESEL,TN-14,Manual,SUV,416000
1562,Maruti Swift,2011,73738,2,PETROL,DL-3C,Manual,HatchBack,240000
1563,Maruti Swift Dzire,2014,58833,2,PETROL,KA-51,Manual,Sedan,490000
1564,Hyundai Elite i20,2018,44946,1,PETROL,GJ-16,Manual,HatchBack,579000
1565,Maruti New Wagon-R,2022,13642,1,PETROL,UP-78,Manual,HatchBack,642000
1566,Renault Kwid,2019,30385,1,PETROL,HR-51,Manual,HatchBack,355000
1567,Tata Safari,2021,30198,1,DIESEL,TS-15,Manual,SUV,1828000
1568,KIA SELTOS,2019,83004,1,PETROL,TN-23,Automatic,SUV,1416000
1569,Maruti Baleno,2017,80830,1,PETROL,KA-03,Manual,HatchBack,698000
1570,Maruti IGNIS,2021,22244,1,PETROL,WB-08,Manual,HatchBack,481000
1571,Hyundai Eon,2013,96763,1,PETROL,MH-02,Manual,HatchBack,229000
1572,Maruti Baleno,2018,52716,2,PETROL,TS-08,Manual,HatchBack,651000
1573,Maruti Ritz,2012,118173,2,DIESEL,AP-28,Manual,HatchBack,313000
1574,Hyundai Grand i10,2017,17815,1,PETROL,DL-9C,Manual,HatchBack,447000
1575,Hyundai Elite i20,2014,106479,1,PETROL,,Manual,HatchBack,416000
1576,Volkswagen Vento,2011,26218,1,PETROL,HR-26,Automatic,Sedan,802000
1577,Maruti IGNIS,2017,48405,1,PETROL,UP-72,Manual,HatchBack,407000
1578,Hyundai Eon,2018,19450,1,PETROL,GJ-05,Manual,HatchBack,311000
1579,Volkswagen Vento,2016,50500,2,PETROL,TN-02,Manual,Sedan,575000
1580,KIA SELTOS,2020,21847,1,PETROL,UP-78,Manual,SUV,964000
1581,Honda WR-V,2019,45978,2,DIESEL,TS-16,Manual,SUV,755000
1582,Maruti S PRESSO,2021,10218,1,PETROL,KA-17,Manual,HatchBack,512000
1583,Honda WR-V,2017,40959,1,PETROL,KA-05,Manual,SUV,790000
1584,Mahindra KUV 100 NXT,2019,5337,1,PETROL,KA-53,Manual,SUV,563000
1585,Maruti Baleno,2021,40380,1,CNG,HR-26,Automatic,HatchBack,812000
1586,Maruti IGNIS,2017,59293,1,PETROL,HR-26,Automatic,HatchBack,577000
1587,Maruti Dzire,2021,13324,1,PETROL,TN-58,Manual,Sedan,705000
1588,Hyundai Elite i20,2016,115440,1,DIESEL,GJ-27,Manual,HatchBack,603000
1589,Hyundai Verna,2012,79482,1,PETROL,KA-09,Manual,Sedan,507000
1590,Maruti Wagon R 1.0,2014,45852,2,PETROL,TS-12,Manual,HatchBack,337000
1591,Volkswagen Ameo,2019,45441,2,PETROL,MH-14,Manual,Sedan,527000
1592,Maruti Alto 800,2013,99427,2,PETROL,KA-03,Manual,HatchBack,227000
1593,Maruti Celerio,2018,7516,1,PETROL,WB-02,Manual,HatchBack,431000
1594,Maruti Baleno,2020,60810,1,CNG,HR-87,Manual,HatchBack,627000
1595,Honda City,2012,44164,1,PETROL,MH-12,Automatic,Sedan,464000
1596,Maruti Ciaz,2018,70211,1,PETROL,MH-12,Manual,Sedan,600000
1597,Maruti Swift,2015,78709,1,PETROL,DL-9C,Manual,HatchBack,393000
1598,Skoda Rapid,2020,30761,1,PETROL,DL-10,Manual,Sedan,897000
1599,Honda City,2011,26757,1,CNG,PB-27,Manual,Sedan,735000
1600,Honda Brio,2014,77469,1,PETROL,TN-14,Automatic,HatchBack,408000
1601,Maruti Swift Dzire,2015,53282,2,DIESEL,MH-14,Automatic,Sedan,836000
1602,Toyota YARIS,2019,30460,1,PETROL,CH-01,Manual,Sedan,720000
1603,Maruti Baleno,2021,19503,2,PETROL,HR-26,Manual,HatchBack,746000
1604,Maruti XL6,2022,44809,1,PETROL,UP-32,Manual,SUV,1156000
1605,Hyundai i20,2012,91703,1,PETROL,AP-28,Manual,HatchBack,460000
1606,Ford Ecosport,2014,76517,2,DIESEL,MH-03,Manual,SUV,495000
1607,Maruti Wagon R 1.0,2014,49093,1,PETROL,PB-10,Manual,HatchBack,308650
1608,Maruti Baleno,2019,20818,1,PETROL,RJ-18,Manual,HatchBack,613000
1609,KIA SELTOS,2020,94998,1,DIESEL,KA-05,Automatic,SUV,1462000
1610,Hyundai Tucson New,2017,53047,2,PETROL,HR-26,Manual,Lux_SUV,1154000
1611,Maruti Swift Dzire,2013,62088,2,PETROL,TN-07,Manual,Sedan,586000
1612,Hyundai i20,2011,72523,1,PETROL,HR-26,Manual,HatchBack,209000
1613,Maruti Ciaz,2022,21284,1,PETROL,MH-03,Automatic,Sedan,910000
1614,Hyundai Xcent,2015,41544,2,PETROL,WB-08,Manual,Sedan,326000
1615,Maruti Swift,2014,34551,2,PETROL,DL-1C,Manual,HatchBack,375000
1616,Maruti Alto 800,2017,32328,1,PETROL,TN-02,Manual,HatchBack,322000
1617,Tata NEXON,2019,67271,1,DIESEL,KA-05,Manual,SUV,831000
1618,Maruti Baleno,2017,67286,1,PETROL,HR-51,Manual,HatchBack,506000
1619,Honda Amaze,2016,62072,2,DIESEL,MH-05,Manual,Sedan,505000
1620,Maruti Wagon R 1.0,2016,61981,2,PETROL,MH-12,Automatic,HatchBack,426000
1621,Maruti Dzire,2018,30303,1,PETROL,KA-03,Manual,Sedan,557000
1622,Hyundai AURA,2020,98983,1,PETROL,TS-11,Automatic,Sedan,825000
1623,Hyundai Creta,2016,95696,1,PETROL,DL-10,Manual,SUV,733000
1624,Hyundai Grand i10,2018,28266,1,PETROL,TS-13,Manual,HatchBack,521000
1625,Maruti Dzire,2018,43424,2,DIESEL,GJ-27,Manual,Sedan,663000
1626,Maruti Ciaz,2020,27344,1,PETROL,HR-87,Manual,Sedan,875000
1627,Hyundai Elite i20,2015,47753,2,PETROL,MH-46,Manual,HatchBack,470000
1628,Honda City,2014,74493,2,DIESEL,MH-04,Manual,Sedan,606000
1629,Tata Tiago,2019,53263,1,PETROL,HR-72,Manual,HatchBack,480000
1630,KIA SONET,2020,70052,1,DIESEL,CH-01,Automatic,SUV,1091000
1631,Hyundai NEW SANTRO,2021,16502,1,PETROL,KA-14,Manual,HatchBack,520000
1632,Maruti Celerio X,2018,82558,1,PETROL,RJ-45,Manual,HatchBack,520000
1633,Maruti Ciaz,2017,84866,1,DIESEL,RJ-14,Manual,Sedan,656000
1634,Maruti Wagon R 1.0,2014,76461,3,CNG,MH-46,Manual,HatchBack,301000
1635,Tata Tiago,2017,29594,1,PETROL,TN-06,Automatic,HatchBack,524000
1636,Hyundai Creta,2016,67621,1,PETROL,KA-03,Manual,SUV,878000
1637,Nissan MAGNITE,2021,54526,1,PETROL,BR-06,Manual,SUV,722000
1638,Maruti Alto 800,2012,48775,2,PETROL,KA-05,Manual,HatchBack,255000
1639,Maruti Wagon R 1.0,2012,61195,2,PETROL,BR-31,Manual,HatchBack,254000
1640,Hyundai Santro Xing,2012,60738,1,PETROL,KA-02,Manual,HatchBack,274000
1641,Datsun Go,2017,30774,2,PETROL,KA-05,Manual,HatchBack,302000
1642,Honda City,2018,48978,1,PETROL,UP-32,Manual,Sedan,807000
1643,Hyundai Creta,2016,67437,2,PETROL,WB-02,Automatic,SUV,729000
1644,Maruti Wagon R 1.0,2016,45675,1,PETROL,WB-26,Manual,HatchBack,326000
1645,Maruti Alto K10,2014,21670,1,PETROL,DL-1C,Manual,HatchBack,237350
1646,Hyundai NEW SANTRO,2019,27792,1,CNG,DL-8C,Manual,HatchBack,604000
1647,Maruti Wagon R 1.0,2010,86967,1,PETROL,DL-3C,Manual,HatchBack,156000
1648,Volkswagen Ameo,2017,19454,1,PETROL,MH-04,Automatic,Sedan,1005000
1649,Hyundai i10,2011,82055,1,PETROL,MH-12,Manual,HatchBack,299000
1650,Renault Kwid,2016,16528,2,PETROL,MH-12,Manual,HatchBack,378000
1651,Maruti Baleno,2017,27436,1,PETROL,TN-07,Manual,HatchBack,606000
1652,Maruti Wagon R 1.0,2014,52685,1,CNG,MH-46,Manual,HatchBack,346000
1653,Renault Kiger,2021,19142,1,PETROL,TN-85,Automatic,HatchBack,926000
1654,Hyundai Creta,2015,58313,1,DIESEL,MH-47,Manual,SUV,878000
1655,Maruti Celerio X,2018,63528,1,PETROL,TS-08,Automatic,HatchBack,495000
1656,Maruti Swift,2012,48005,1,PETROL,UP-14,Manual,HatchBack,313000
1657,Maruti Alto K10,2016,73344,3,PETROL,TS-02,Manual,HatchBack,298000
1658,Honda Jazz,2017,70602,1,PETROL,KA-02,Automatic,HatchBack,707000
1659,Maruti Swift,2017,105133,1,DIESEL,TS-07,Manual,HatchBack,593000
1660,Renault Kwid,2017,52520,2,PETROL,KA-04,Automatic,HatchBack,385000
1661,Hyundai Eon,2014,48407,1,PETROL,TN-43,Manual,HatchBack,293000
1662,Maruti Celerio X,2017,23991,1,PETROL,MH-04,Manual,HatchBack,463000
1663,Maruti Dzire,2018,16568,1,PETROL,HR-29,Automatic,Sedan,615000
1664,Hyundai Creta,2018,71658,1,PETROL,DL-8C,Automatic,SUV,986000
1665,Maruti Celerio,2022,3742,1,PETROL,UP-78,Manual,HatchBack,605000
1666,Hyundai Xcent,2015,75360,1,PETROL,MH-49,Manual,Sedan,401000
1667,Hyundai Grand i10,2016,46894,3,PETROL,KA-01,Manual,HatchBack,488000
1668,Maruti Celerio,2018,23405,1,PETROL,TS-15,Manual,HatchBack,483000
1669,Maruti Swift Dzire,2015,69690,1,PETROL,DL-12,Automatic,Sedan,932000
1670,Maruti Swift,2018,55483,1,PETROL,DL-1C,Manual,HatchBack,495000
1671,Maruti New Wagon-R,2021,17189,1,CNG,DL-3C,Manual,HatchBack,599000
1672,Maruti Swift,2013,92389,2,DIESEL,AP-22,Manual,HatchBack,401000
1673,Hyundai Grand i10,2017,35740,1,PETROL,MH-12,Manual,HatchBack,526000
1674,Nissan Micra Active,2019,26274,1,PETROL,TN-07,Manual,HatchBack,526000
1675,Nissan MAGNITE,2022,11850,1,PETROL,PB-27,Manual,SUV,718000
1676,Maruti Celerio,2018,70689,1,PETROL,KL-40,Automatic,HatchBack,495000
1677,Maruti Baleno,2021,36798,1,PETROL,HR-87,Manual,HatchBack,674000
1678,Maruti Alto K10,2011,25928,1,PETROL,KA-05,Manual,HatchBack,248000
1679,Maruti S PRESSO,2020,82366,1,CNG,GJ-05,Manual,HatchBack,452000
1680,Hyundai Creta,2016,50947,1,PETROL,DL-3C,Manual,SUV,792000
1681,Hyundai i10,2011,108793,2,PETROL,,Manual,HatchBack,267000
1682,Maruti Celerio,2015,96295,2,CNG,DL-6C,Automatic,HatchBack,332000
1683,Hyundai Elite i20,2018,42849,1,PETROL,RJ-45,Manual,HatchBack,554000
1684,Datsun Redi Go,2016,10724,1,PETROL,MH-01,Manual,HatchBack,253000
1685,Datsun Go Plus,2018,44386,1,PETROL,TN-45,Manual,HatchBack,429000
1686,Renault TRIBER,2020,25179,2,PETROL,KA-02,Manual,SUV,619000
1687,Mahindra XUV500,2019,95338,1,DIESEL,UP-14,Manual,Lux_SUV,885000
1688,Renault Kwid,2017,85831,1,PETROL,KL-22,Manual,HatchBack,279000
1689,Honda Amaze,2014,94591,1,DIESEL,GJ-05,Manual,Sedan,480000
1690,Maruti Zen Estilo,2010,91626,1,PETROL,KL-01,Manual,HatchBack,163000
1691,Hyundai ALCAZAR,2021,22928,1,DIESEL,MH-04,Manual,SUV,1776000
1692,Toyota YARIS,2018,47140,2,PETROL,MH-01,Automatic,Sedan,621000
1693,Hyundai Verna,2018,78994,1,PETROL,DL-9C,Manual,Sedan,529000
1694,Maruti Swift Dzire,2015,66694,1,PETROL,DL-1C,Manual,Sedan,445000
1695,Renault Kiger,2021,19706,2,PETROL,RJ-18,Manual,HatchBack,786000
1696,Hyundai VENUE,2019,23797,2,DIESEL,DL-1C,Manual,SUV,827000
1697,Maruti Ciaz,2016,110103,1,DIESEL,KA-05,Manual,Sedan,650000
1698,Hyundai i20 Active,2018,120607,1,PETROL,,Manual,HatchBack,559000
1699,Renault TRIBER,2019,10175,1,PETROL,WB-10,Manual,SUV,614000
1700,Honda City,2017,45915,1,PETROL,MH-12,Manual,Sedan,874000
1701,Maruti Celerio,2018,55847,1,PETROL,HR-20,Manual,HatchBack,457000
1702,Hyundai Elite i20,2016,47045,1,PETROL,TN-20,Manual,HatchBack,648000
1703,Hyundai Elite i20,2015,58583,1,PETROL,TS-07,Manual,HatchBack,504000
1704,Hyundai Elite i20,2017,37701,1,PETROL,DL-1C,Manual,HatchBack,512000
1705,Hyundai Verna,2018,95329,1,PETROL,RJ-45,Manual,Sedan,843000
1706,BMW 3 Series,2013,153870,3,DIESEL,CH-01,Automatic,Lux_sedan,1005000
1707,Hyundai Xcent,2014,57000,1,PETROL,BR-01,Manual,Sedan,340000
1708,Maruti Ertiga,2015,71877,2,PETROL,KA-25,Manual,SUV,708000
1709,Hyundai Elite i20,2019,39839,1,PETROL,PB-10,Automatic,HatchBack,861000
1710,Maruti Swift,2010,115008,1,PETROL,,Manual,HatchBack,212000
1711,Volkswagen Vento,2018,43119,2,PETROL,UP-16,Automatic,Sedan,825000
1712,Hyundai Xcent,2019,58973,1,PETROL,BR-01,Manual,Sedan,334000
1713,Maruti Swift,2018,61326,1,PETROL,DL-2C,Automatic,HatchBack,616000
1714,Maruti S PRESSO,2020,11274,2,PETROL,UP-32,Manual,HatchBack,397750
1715,Maruti Baleno,2017,74006,1,PETROL,WB-02,Manual,HatchBack,413000
1716,Hyundai NEW SANTRO,2021,15869,1,PETROL,MH-40,Automatic,HatchBack,539000
1717,Hyundai Grand i10,2018,39525,2,PETROL,HR-13,Manual,HatchBack,453000
1718,Renault Kwid,2022,6624,1,PETROL,DL-12,Manual,HatchBack,509000
1719,Renault TRIBER,2020,21801,1,PETROL,TN-40,Automatic,SUV,752000
1720,Maruti Alto 800,2013,13626,2,CNG,MH-04,Manual,HatchBack,280000
1721,Hyundai i10,2015,77569,1,PETROL,KA-41,Manual,HatchBack,393000
1722,Maruti S PRESSO,2020,53587,2,CNG,MH-05,Manual,HatchBack,451000
1723,Maruti Swift,2018,49578,1,PETROL,KA-41,Automatic,HatchBack,711000
1724,Hyundai AURA,2021,41428,1,PETROL,KA-02,Automatic,Sedan,834000
1725,Maruti Ritz,2010,72199,2,PETROL,DL-2C,Manual,HatchBack,160000
1726,Maruti S PRESSO,2019,89221,1,CNG,DL-11,Manual,HatchBack,341000
1727,Maruti Swift,2017,96391,1,DIESEL,TS-07,Manual,HatchBack,601000
1728,Maruti Celerio,2017,30623,1,PETROL,TN-02,Automatic,HatchBack,494000
1729,Honda WR-V,2017,93767,2,DIESEL,MH-27,Manual,SUV,617000
1730,Maruti Baleno,2017,66609,1,PETROL,HR-26,Manual,HatchBack,549000
1731,Mahindra Thar,2021,9087,1,PETROL,GJ-01,Automatic,SUV,1585000
1732,Ford Ecosport,2019,84035,1,PETROL,DL-12,Manual,SUV,722000
1733,Maruti Ritz,2014,62031,1,PETROL,HR-26,Manual,HatchBack,298000
1734,Honda Amaze,2019,45245,1,PETROL,HR-51,Automatic,Sedan,685000
1735,Hyundai Grand i10,2015,28744,2,PETROL,MP-09,Manual,HatchBack,382000
1736,Honda City,2012,76739,2,CNG,GJ-26,Manual,Sedan,535000
1737,Honda Amaze,2014,93416,1,PETROL,DL-1C,Manual,Sedan,342000
1738,Hyundai i10,2014,54827,2,PETROL,MH-12,Manual,HatchBack,342000
1739,Hyundai GRAND I10 NIOS,2021,19693,1,CNG,UP-16,Manual,HatchBack,649000
1740,Hyundai Elite i20,2015,42000,2,PETROL,WB-06,Manual,HatchBack,393000
1741,Maruti Swift,2011,78858,1,PETROL,DL-8C,Manual,HatchBack,219000
1742,Maruti Wagon R 1.0,2013,94581,2,PETROL,TN-04,Manual,HatchBack,355000
1743,Honda Amaze,2022,25222,1,PETROL,TN-14,Manual,Sedan,848000
1744,Maruti Ciaz,2018,61960,2,PETROL,MH-08,Manual,Sedan,469000
1745,Maruti Wagon R 1.0,2011,71957,1,PETROL,MH-05,Manual,HatchBack,249000
1746,Hyundai VENUE,2019,39413,1,PETROL,GJ-38,Automatic,SUV,932000
1747,Maruti Ciaz,2016,24731,1,PETROL,MH-14,Automatic,Sedan,647000
1748,Maruti Swift,2018,46509,1,PETROL,KA-03,Automatic,HatchBack,676000
1749,Hyundai Grand i10,2017,52539,1,PETROL,MH-02,Automatic,HatchBack,516000
1750,Honda Amaze,2016,43803,1,PETROL,MH-12,Automatic,Sedan,873000
1751,Toyota Etios,2011,42508,1,PETROL,MH-12,Manual,Sedan,555000
1752,Maruti Swift,2014,73889,1,PETROL,TS-07,Manual,HatchBack,471000
1753,Maruti S Cross,2020,40687,1,PETROL,TS-02,Manual,SUV,990000
1754,Hyundai Eon,2013,84171,2,PETROL,AP-09,Manual,HatchBack,241000
1755,Ford Ecosport,2018,54937,2,DIESEL,WB-02,Manual,SUV,668000
1756,Maruti Swift,2016,80664,1,PETROL,UP-78,Manual,HatchBack,379000
1757,Honda Amaze,2016,72918,1,DIESEL,RJ-14,Automatic,Sedan,741000
1758,Hyundai Verna,2017,48612,1,DIESEL,MH-04,Manual,Sedan,1409000
1759,Honda Jazz,2017,59541,1,PETROL,MH-02,Automatic,HatchBack,588000
1760,Honda WR-V,2019,53439,1,DIESEL,DL-4C,Manual,SUV,608000
1761,Hyundai Verna,2016,58454,2,DIESEL,WB-02,Manual,Sedan,386000
1762,Maruti Swift,2019,57265,1,PETROL,KA-19,Manual,HatchBack,643000
1763,Honda Amaze,2016,51975,1,PETROL,HR-29,Manual,Sedan,464000
1764,Maruti Ertiga,2019,33340,1,PETROL,HR-36,Automatic,SUV,887000
1765,Hyundai Grand i10,2014,40940,2,PETROL,MH-16,Manual,HatchBack,438000
1766,Renault Duster,2020,95678,1,PETROL,KA-32,Manual,SUV,1056000
1767,Renault Kwid,2015,22677,1,PETROL,KA-05,Manual,HatchBack,345000
1768,Maruti Baleno,2020,22610,1,PETROL,UP-14,Manual,HatchBack,654000
1769,Hyundai i10,2016,70593,1,PETROL,RJ-14,Manual,HatchBack,345000
1770,Ford FREESTYLE,2018,59405,1,DIESEL,DL-10,Manual,SUV,502000
1771,Renault Duster,2016,56003,2,DIESEL,KA-01,Automatic,SUV,767000
1772,Honda Civic,2019,94786,2,DIESEL,MH-14,Manual,Sedan,1359000
1773,Hyundai New Elantra,2018,83195,2,PETROL,GJ-01,Automatic,Lux_sedan,1332000
1774,Volkswagen Vento,2016,116897,1,DIESEL,MH-47,Automatic,Sedan,629000
1775,Volkswagen Vento,2013,105210,1,PETROL,,Manual,Sedan,576000
1776,Maruti Ciaz,2019,110999,3,DIESEL,TN-19,Manual,Sedan,494000
1777,Maruti Swift,2016,52783,1,PETROL,TN-07,Manual,HatchBack,514000
1778,Maruti Celerio,2015,83408,1,CNG,MH-12,Manual,HatchBack,432000
1779,Hyundai Grand i10,2017,66442,1,PETROL,BR-31,Manual,HatchBack,383000
1780,Hyundai Grand i10,2015,60817,2,PETROL,TS-08,Manual,HatchBack,475000
1781,Datsun Redi Go,2017,32419,1,PETROL,TS-09,Manual,HatchBack,306000
1782,Maruti S PRESSO,2020,71274,1,CNG,MH-43,Manual,HatchBack,436000
1783,Maruti Baleno,2017,70528,1,PETROL,TN-14,Automatic,HatchBack,705000
1784,Maruti Celerio,2017,82305,1,CNG,MH-03,Manual,HatchBack,440000
1785,Hyundai Elite i20,2016,49441,1,PETROL,HR-26,Manual,HatchBack,556000
1786,Hyundai VENUE,2021,54210,1,DIESEL,MH-46,Manual,SUV,1022000
1787,Maruti Swift,2015,58131,1,PETROL,KA-05,Manual,HatchBack,553000
1788,Tata NEXON,2019,78651,1,DIESEL,HR-26,Manual,SUV,647000
1789,Hyundai NEW I20 N LINE,2021,17079,1,PETROL,UP-21,Automatic,HatchBack,1119000
1790,Maruti Baleno,2018,51413,2,PETROL,DL-12,Manual,HatchBack,506000
1791,Maruti Wagon R 1.0,2011,49855,2,CNG,DL-5C,Manual,HatchBack,230000
1792,Honda Amaze,2018,16206,2,PETROL,TN-02,Manual,Sedan,431000
1793,Maruti Ertiga,2013,84558,2,CNG,MH-43,Manual,SUV,585350
1794,Maruti Baleno,2016,48042,1,PETROL,MH-12,Automatic,HatchBack,642000
1795,Hyundai Grand i10,2015,61337,1,PETROL,WB-02,Manual,HatchBack,316000
1796,Honda Amaze,2015,97135,2,PETROL,DL-3C,Manual,Sedan,392000
1797,Maruti Swift,2018,56291,1,PETROL,HR-29,Manual,HatchBack,572000
1798,Honda Jazz,2017,58070,1,PETROL,MH-47,Automatic,HatchBack,605000
1799,Maruti S PRESSO,2020,38169,1,CNG,RJ-02,Manual,HatchBack,491000
1800,Maruti Wagon R 1.0,2012,58228,2,CNG,MH-04,Manual,HatchBack,308000
1801,Hyundai NEW SANTRO,2020,62948,1,PETROL,MH-10,Manual,HatchBack,436000
1802,Volkswagen Vento,2016,47680,1,PETROL,TN-02,Manual,Sedan,714000
1803,Skoda Rapid,2015,20630,1,PETROL,KA-53,Automatic,Sedan,1347000
1804,Maruti Vitara Brezza,2019,45739,1,DIESEL,HR-87,Automatic,SUV,783800
1805,Hyundai Elite i20,2016,40841,1,PETROL,TS-10,Manual,HatchBack,699000
1806,Maruti Swift,2012,79695,1,PETROL,HR-26,Manual,HatchBack,323000
1807,Maruti Swift Dzire,2015,73002,2,PETROL,DL-1C,Automatic,Sedan,513000
1808,Maruti Alto K10,2018,47248,1,PETROL,PB-19,Manual,HatchBack,375000
1809,Maruti Swift,2019,44954,1,DIESEL,KA-02,Automatic,HatchBack,810000
1810,Maruti Swift Dzire,2013,99860,1,DIESEL,AP-13,Manual,Sedan,444000
1811,Maruti Alto K10,2015,29293,1,PETROL,DL-3C,Automatic,HatchBack,343000
1812,Maruti Celerio,2014,99227,1,PETROL,KA-50,Automatic,HatchBack,372000
1813,Toyota YARIS,2018,64638,1,PETROL,GJ-01,Automatic,Sedan,748000
1814,Maruti Baleno,2018,15063,1,PETROL,BR-01,Manual,HatchBack,601000
1815,Maruti Alto,2019,51964,1,CNG,DL-12,Manual,HatchBack,389000
1816,Honda Jazz,2015,55145,1,PETROL,KA-09,Automatic,HatchBack,587000
1817,Toyota YARIS,2018,90619,1,PETROL,PB-08,Manual,Sedan,700000
1818,Maruti Swift,2011,56317,1,PETROL,KA-02,Manual,HatchBack,394000
1819,Hyundai AURA,2021,76506,2,PETROL,MH-14,Automatic,Sedan,877000
1820,Mahindra TUV300,2019,70065,1,DIESEL,TS-08,Manual,SUV,809000
1821,Honda Brio,2018,14382,2,PETROL,GJ-01,Manual,HatchBack,508000
1822,Hyundai Verna,2020,17216,1,PETROL,MH-12,Automatic,Sedan,952000
1823,Hyundai Elite i20,2015,59470,1,PETROL,KA-05,Manual,HatchBack,658000
1824,Maruti Celerio,2014,23915,1,PETROL,KA-51,Automatic,HatchBack,440000
1825,Maruti Swift,2012,39155,1,PETROL,MH-12,Manual,HatchBack,397000
1826,Maruti Celerio,2017,87814,2,PETROL,KL-43,Automatic,HatchBack,456000
1827,Ford Ecosport,2019,18014,2,CNG,MH-04,Manual,SUV,823000
1828,Maruti Alto,2021,37400,1,CNG,MH-05,Manual,HatchBack,451000
1829,Honda City,2016,88437,1,CNG,DL-1C,Manual,Sedan,651000
1830,Honda Jazz,2019,36785,2,PETROL,UP-16,Manual,HatchBack,639000
1831,Hyundai Grand i10,2018,74256,1,PETROL,GJ-18,Manual,HatchBack,463000
1832,Maruti Celerio X,2018,63618,1,PETROL,KA-05,Manual,HatchBack,523000
1833,Maruti Ciaz,2019,53713,1,DIESEL,DL-10,Manual,Sedan,714000
1834,Honda Amaze,2018,43353,1,PETROL,KA-05,Automatic,Sedan,1298000
1835,Maruti Baleno,2018,60525,1,PETROL,HR-13,Manual,HatchBack,527000
1836,Ford Ecosport,2019,51442,1,PETROL,CH-01,Automatic,SUV,778000
1837,Honda Amaze,2016,111247,2,PETROL,,Manual,Sedan,460000
1838,Hyundai Elite i20,2019,40424,1,PETROL,TS-07,Manual,HatchBack,727000
1839,Maruti Baleno,2016,38385,1,PETROL,DL-2C,Manual,HatchBack,513000
1840,Maruti Dzire,2021,76725,1,PETROL,WB-02,Manual,Sedan,336000
1841,Honda City,2015,81098,1,PETROL,KA-25,Manual,Sedan,687000
1842,Volkswagen Polo,2016,81009,3,DIESEL,TN-69,Manual,HatchBack,620000
1843,Maruti Baleno,2017,78928,2,PETROL,GJ-05,Manual,HatchBack,491000
1844,Hyundai Verna,2017,59949,1,PETROL,GJ-01,Manual,Sedan,681800
1845,Honda City,2014,77192,1,PETROL,HR-26,Manual,Sedan,496000
1846,Maruti S PRESSO,2019,93516,1,PETROL,RJ-47,Manual,HatchBack,371000
1847,Volkswagen Ameo,2016,64851,2,PETROL,UP-14,Manual,Sedan,411000
1848,Maruti Wagon R 1.0,2013,46225,1,PETROL,MH-12,Manual,HatchBack,343000
1849,Maruti Swift,2017,124644,1,DIESEL,UP-16,Manual,HatchBack,486000
1850,Renault Duster,2015,73259,2,DIESEL,TN-23,Manual,SUV,555000
1851,Honda Amaze,2019,22382,1,PETROL,DL-3C,Manual,Sedan,662000
1852,Renault Kwid,2018,18334,2,PETROL,MH-05,Automatic,HatchBack,420000
1853,Hyundai Creta,2018,68036,1,PETROL,DL-1C,Automatic,SUV,991000
1854,Honda Jazz,2016,62526,1,CNG,HR-29,Manual,HatchBack,552000
1855,Honda Amaze,2014,57121,1,PETROL,MH-02,Manual,Sedan,375000
1856,Maruti Ciaz,2021,20730,1,PETROL,HR-30,Manual,Sedan,800000
1857,Maruti Alto 800,2014,24027,1,PETROL,MH-02,Manual,HatchBack,211000
1858,Renault Kwid,2018,57389,1,PETROL,DL-1C,Manual,HatchBack,345000
1859,Maruti Dzire,2017,12324,1,PETROL,DL-2C,Manual,Sedan,565000
1860,Honda City,2019,10242,1,PETROL,KA-42,Automatic,Sedan,1009000
1861,Hyundai Creta,2019,52076,1,PETROL,UP-32,Manual,SUV,945000
